               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  36,             0.07157,            0.018691,            0.027013,             0.42602,             0.59891,             0.46006,             0.19096,            0.066883,            0.013592,            0.028281,           0.0060611,           0.0060611,            0.033061
                  37,            0.067234,            0.023182,            0.028607,             0.62836,                0.45,             0.43985,             0.17695,            0.057271,             0.01407,            0.027034,           0.0061918,           0.0061918,            0.031192
                  38,               0.065,            0.022348,            0.028379,             0.46989,                 0.5,             0.44945,             0.16018,            0.059825,            0.013321,            0.025636,           0.0063206,           0.0063206,            0.029321
                  39,            0.071494,            0.016761,            0.026943,             0.46989,                 0.5,             0.44945,             0.16018,            0.059825,            0.013321,            0.025636,           0.0064475,           0.0064475,            0.027448
                  40,            0.064197,            0.014679,            0.025054,             0.68506,             0.54897,             0.63725,             0.19595,            0.056943,            0.013428,            0.024346,           0.0065726,           0.0065726,            0.025573
                  41,            0.061764,            0.018741,            0.023696,             0.44943,             0.44985,             0.31836,            0.079606,            0.070448,            0.012587,             0.02178,           0.0066957,           0.0066957,            0.023696
                  42,            0.072034,            0.022313,            0.026042,             0.44943,             0.44985,             0.31836,            0.079606,            0.070448,            0.012587,             0.02178,            0.006817,            0.006817,            0.021817
                  43,            0.077896,            0.018856,            0.028773,             0.45488,                 0.4,              0.3434,            0.087734,            0.070756,            0.011912,            0.021527,           0.0069364,           0.0069364,            0.019936
                  44,            0.075748,            0.020491,            0.024806,             0.45488,                 0.4,              0.3434,            0.087734,            0.070756,            0.011912,            0.021527,           0.0070539,           0.0070539,            0.018054
                  45,            0.079327,            0.013151,            0.025772,             0.52044,                 0.5,               0.435,             0.11801,             0.05857,            0.011497,            0.018727,           0.0071695,           0.0071695,             0.01617
                  46,            0.066167,             0.01845,            0.023406,             0.52044,                 0.5,               0.435,             0.11801,             0.05857,            0.011497,            0.018727,           0.0072832,           0.0072832,            0.014283
                  47,            0.066589,             0.01496,            0.024329,             0.48252,             0.44908,             0.42822,            0.089545,            0.056724,            0.010906,            0.017179,           0.0073951,           0.0073951,            0.012395
                  48,            0.068754,            0.018098,            0.025798,             0.48252,             0.44908,             0.42822,            0.089545,            0.056724,            0.010906,            0.017179,            0.007505,            0.007505,            0.010505
                  49,            0.063919,            0.016114,            0.023181,             0.24982,             0.48964,             0.22407,            0.042349,            0.063405,           0.0095463,            0.017109,           0.0076131,           0.0076131,           0.0086131
                  50,            0.071425,            0.015487,            0.026947,             0.24982,             0.48964,             0.22407,            0.042349,            0.063405,           0.0095463,            0.017109,           0.0076429,           0.0076429,           0.0076429
                  51,            0.072524,            0.016988,            0.021842,             0.53293,             0.44956,             0.51072,             0.16079,            0.053361,            0.010128,            0.016411,           0.0076429,           0.0076429,           0.0076429
                  52,            0.055143,            0.016359,            0.018684,             0.53293,             0.44956,             0.51072,             0.16079,            0.053361,            0.010128,            0.016411,           0.0075957,           0.0075957,           0.0075957
                  53,            0.056456,            0.015122,             0.01719,             0.25335,                0.65,             0.32081,            0.080255,            0.057156,            0.010059,            0.015839,           0.0075486,           0.0075486,           0.0075486
                  54,            0.063591,            0.019145,            0.021036,             0.25335,                0.65,             0.32081,            0.080255,            0.057156,            0.010059,            0.015839,           0.0075014,           0.0075014,           0.0075014
                  55,            0.061918,            0.018143,            0.018588,             0.56226,                0.65,              0.6242,             0.19939,            0.054218,            0.010048,             0.01608,           0.0074543,           0.0074543,           0.0074543
                  56,            0.062128,            0.017519,            0.020334,             0.56226,                0.65,              0.6242,             0.19939,            0.054218,            0.010048,             0.01608,           0.0074071,           0.0074071,           0.0074071
                  57,            0.061178,            0.016572,            0.020614,             0.38031,                 0.7,             0.47078,             0.11396,            0.049692,            0.010162,            0.016885,             0.00736,             0.00736,             0.00736
                  58,            0.054574,            0.022944,            0.019929,             0.38031,                 0.7,             0.47078,             0.11396,            0.049692,            0.010162,            0.016885,           0.0073129,           0.0073129,           0.0073129
                  59,            0.062522,            0.014236,            0.016556,             0.38186,                0.45,              0.3408,            0.059445,            0.061746,           0.0092889,            0.016194,           0.0072657,           0.0072657,           0.0072657
