               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 156,            0.039629,            0.011156,           0.0081638,             0.98729,                   1,               0.995,             0.65876,             0.02431,           0.0062458,           0.0029683,           0.0026929,           0.0026929,           0.0026929
                 157,             0.03654,            0.013521,            0.015373,             0.98799,                   1,               0.995,              0.6383,            0.028802,           0.0061367,           0.0029457,           0.0026457,           0.0026457,           0.0026457
                 158,            0.041521,            0.012147,           0.0049274,             0.98799,                   1,               0.995,              0.6383,            0.028802,           0.0061367,           0.0029457,           0.0025986,           0.0025986,           0.0025986
                 159,            0.041584,            0.010821,            0.005884,             0.98364,                   1,               0.995,             0.74852,            0.023623,           0.0060158,           0.0028754,           0.0025514,           0.0025514,           0.0025514
                 160,            0.038937,           0.0094976,            0.012218,             0.98364,                   1,               0.995,             0.74852,            0.023623,           0.0060158,           0.0028754,           0.0025043,           0.0025043,           0.0025043
                 161,             0.03589,            0.013043,           0.0042149,             0.99022,                   1,               0.995,             0.66101,            0.025866,           0.0060671,           0.0028408,           0.0024571,           0.0024571,           0.0024571
                 162,            0.033882,            0.012407,           0.0053558,             0.99022,                   1,               0.995,             0.66101,            0.025866,           0.0060671,           0.0028408,             0.00241,             0.00241,             0.00241
                 163,            0.033534,            0.010448,           0.0082387,             0.99458,                   1,               0.995,             0.60383,            0.023802,           0.0060591,           0.0028338,           0.0023629,           0.0023629,           0.0023629
                 164,            0.041401,            0.013813,           0.0071049,             0.99458,                   1,               0.995,             0.60383,            0.023802,           0.0060591,           0.0028338,           0.0023157,           0.0023157,           0.0023157
                 165,            0.035051,            0.015437,           0.0056135,             0.99677,                   1,               0.995,             0.70134,            0.021849,            0.005935,           0.0028358,           0.0022686,           0.0022686,           0.0022686
                 166,            0.038182,            0.013434,           0.0060839,             0.99677,                   1,               0.995,             0.70134,            0.021849,            0.005935,           0.0028358,           0.0022214,           0.0022214,           0.0022214
                 167,            0.035843,            0.011573,           0.0059578,             0.99873,                   1,               0.995,             0.73123,            0.020985,            0.005866,           0.0028359,           0.0021743,           0.0021743,           0.0021743
                 168,            0.029351,            0.013481,           0.0049052,             0.99873,                   1,               0.995,             0.73123,            0.020985,            0.005866,           0.0028359,           0.0021271,           0.0021271,           0.0021271
                 169,            0.038951,            0.014261,           0.0077425,             0.99588,                   1,               0.995,             0.48225,            0.028505,           0.0061394,           0.0027688,             0.00208,             0.00208,             0.00208
                 170,            0.038363,            0.010968,           0.0040117,             0.99588,                   1,               0.995,             0.48225,            0.028505,           0.0061394,           0.0027688,           0.0020329,           0.0020329,           0.0020329
                 171,            0.036323,            0.014299,           0.0061936,             0.99544,                   1,               0.995,             0.71159,             0.02007,           0.0057576,           0.0027729,           0.0019857,           0.0019857,           0.0019857
                 172,            0.033575,            0.012245,           0.0045916,             0.99544,                   1,               0.995,             0.71159,             0.02007,           0.0057576,           0.0027729,           0.0019386,           0.0019386,           0.0019386
                 173,            0.036818,            0.013074,           0.0052401,             0.99416,                   1,               0.995,             0.53517,            0.028995,           0.0060548,           0.0027347,           0.0018914,           0.0018914,           0.0018914
                 174,            0.036038,            0.014241,           0.0064844,             0.99416,                   1,               0.995,             0.53517,            0.028995,           0.0060548,           0.0027347,           0.0018443,           0.0018443,           0.0018443
                 175,            0.036587,             0.01354,           0.0050151,             0.99026,                   1,               0.995,             0.70187,            0.020976,           0.0056733,           0.0027718,           0.0017971,           0.0017971,           0.0017971
                 176,             0.03463,            0.011802,            0.003989,             0.99026,                   1,               0.995,             0.70187,            0.020976,           0.0056733,           0.0027718,             0.00175,             0.00175,             0.00175
                 177,            0.032011,            0.012011,           0.0061241,             0.99373,                   1,               0.995,             0.71932,             0.02079,           0.0056756,           0.0027717,           0.0017029,           0.0017029,           0.0017029
                 178,             0.02793,            0.011047,            0.003585,             0.99373,                   1,               0.995,             0.71932,             0.02079,           0.0056756,           0.0027717,           0.0016557,           0.0016557,           0.0016557
                 179,            0.032327,            0.012986,            0.007068,             0.99294,                   1,               0.995,             0.72829,            0.021931,           0.0056936,           0.0027654,           0.0016086,           0.0016086,           0.0016086
                 180,            0.036042,            0.011519,           0.0042679,             0.99294,                   1,               0.995,             0.72829,            0.021931,           0.0056936,           0.0027654,           0.0015614,           0.0015614,           0.0015614
                 181,            0.026557,            0.013831,           0.0035311,             0.99368,                   1,               0.995,             0.75921,            0.021517,           0.0056301,           0.0027529,           0.0015143,           0.0015143,           0.0015143
                 182,            0.033656,            0.010392,           0.0062891,             0.99368,                   1,               0.995,             0.75921,            0.021517,           0.0056301,           0.0027529,           0.0014671,           0.0014671,           0.0014671
                 183,             0.02633,           0.0095733,           0.0046931,             0.99286,                   1,               0.995,             0.76703,            0.020968,           0.0056244,           0.0027603,             0.00142,             0.00142,             0.00142
                 184,            0.030893,            0.011868,           0.0033438,             0.99286,                   1,               0.995,             0.76703,            0.020968,           0.0056244,           0.0027603,           0.0013729,           0.0013729,           0.0013729
                 185,            0.035732,            0.012139,           0.0080824,             0.99338,                   1,               0.995,             0.76923,            0.020165,           0.0055985,           0.0027595,           0.0013257,           0.0013257,           0.0013257
                 186,            0.031177,            0.010211,           0.0042398,             0.99338,                   1,               0.995,             0.76923,            0.020165,           0.0055985,           0.0027595,           0.0012786,           0.0012786,           0.0012786
                 187,            0.029228,            0.013893,           0.0049954,             0.99302,                   1,               0.995,             0.65597,            0.024925,           0.0057855,            0.002731,           0.0012314,           0.0012314,           0.0012314
                 188,            0.033203,            0.011683,           0.0068955,             0.99302,                   1,               0.995,             0.65597,            0.024925,           0.0057855,            0.002731,           0.0011843,           0.0011843,           0.0011843
                 189,              0.0345,            0.010395,           0.0071502,             0.99313,                   1,               0.995,             0.74446,            0.019842,           0.0056499,           0.0027344,           0.0011371,           0.0011371,           0.0011371
                 190,            0.022156,           0.0094856,           0.0029814,             0.99313,                   1,               0.995,             0.74446,            0.019842,           0.0056499,           0.0027344,             0.00109,             0.00109,             0.00109
                 191,            0.030796,            0.012728,           0.0038992,             0.99351,                   1,               0.995,             0.76072,            0.019048,           0.0056261,            0.002718,           0.0010429,           0.0010429,           0.0010429
                 192,            0.030502,            0.014679,           0.0053596,             0.99351,                   1,               0.995,             0.76072,            0.019048,           0.0056261,            0.002718,          0.00099571,          0.00099571,          0.00099571
                 193,            0.034336,            0.010713,            0.012824,              0.9942,                   1,               0.995,             0.71286,            0.019948,           0.0056788,           0.0026939,          0.00094857,          0.00094857,          0.00094857
                 194,            0.036266,            0.012707,           0.0053381,              0.9942,                   1,               0.995,             0.71286,            0.019948,           0.0056788,           0.0026939,          0.00090143,          0.00090143,          0.00090143
                 195,            0.030679,            0.011663,           0.0050602,             0.99458,                   1,               0.995,             0.75439,            0.019879,           0.0056293,           0.0027004,          0.00085429,          0.00085429,          0.00085429
                 196,             0.03019,            0.011158,           0.0057414,             0.99458,                   1,               0.995,             0.75439,            0.019879,           0.0056293,           0.0027004,          0.00080714,          0.00080714,          0.00080714
                 197,            0.029261,            0.011905,           0.0062919,             0.99531,                   1,               0.995,             0.74676,            0.018629,           0.0056138,           0.0027101,             0.00076,             0.00076,             0.00076
                 198,            0.031175,            0.013274,            0.005535,             0.99531,                   1,               0.995,             0.74676,            0.018629,           0.0056138,           0.0027101,          0.00071286,          0.00071286,          0.00071286
                 199,            0.028183,           0.0098193,           0.0042206,             0.99538,                   1,               0.995,             0.76372,            0.018531,           0.0056044,           0.0027181,          0.00066571,          0.00066571,          0.00066571
                 200,            0.034323,             0.01231,           0.0049954,             0.99538,                   1,               0.995,             0.76372,            0.018531,           0.0056044,           0.0027181,          0.00061857,          0.00061857,          0.00061857
                 201,            0.032827,            0.011765,           0.0054072,             0.99545,                   1,               0.995,             0.77977,            0.018355,           0.0056069,            0.002715,          0.00057143,          0.00057143,          0.00057143
                 202,            0.031585,            0.013107,           0.0050051,             0.99545,                   1,               0.995,             0.77977,            0.018355,           0.0056069,            0.002715,          0.00052429,          0.00052429,          0.00052429
                 203,            0.031772,            0.014701,           0.0048104,             0.99536,                   1,               0.995,             0.77213,            0.018235,           0.0055952,           0.0027187,          0.00047714,          0.00047714,          0.00047714
                 204,            0.028401,            0.011267,           0.0041521,             0.99536,                   1,               0.995,             0.77213,            0.018235,           0.0055952,           0.0027187,             0.00043,             0.00043,             0.00043
                 205,            0.035366,             0.01038,           0.0088359,             0.99565,                   1,               0.995,             0.77775,            0.018237,           0.0056173,           0.0026952,          0.00038286,          0.00038286,          0.00038286
                 206,            0.026503,            0.010636,           0.0042758,             0.99565,                   1,               0.995,             0.77775,            0.018237,           0.0056173,           0.0026952,          0.00033571,          0.00033571,          0.00033571
                 207,            0.027186,           0.0098957,           0.0036041,             0.99557,                   1,               0.995,             0.77555,            0.017945,           0.0056321,           0.0026951,          0.00028857,          0.00028857,          0.00028857
                 208,            0.035397,            0.011235,           0.0044452,             0.99557,                   1,               0.995,             0.77555,            0.017945,           0.0056321,           0.0026951,          0.00024143,          0.00024143,          0.00024143
                 209,             0.02528,            0.012696,           0.0033402,             0.99537,                   1,               0.995,               0.791,             0.01765,           0.0056216,            0.002705,          0.00019429,          0.00019429,          0.00019429
